payee,category,work_details,lpo_number,plo_sum,invoice_number,date_recorded,start_date,end_date,completion_status,cumulative_amount_invoiced,amount_paid,outstanding_amount,verified,comments,support_documents,,
Ranaha Investiment Ltd,Recurrent,Car Hire,1198111," 520,000.00 ",501,03/01/2017,,,Complete,"520,000.00", -   ," 520,000.00 ",,original document,√  ,,
Ranaha Investiment Ltd,Recurrent,transport services,ISL/CNTY/011/012/019/023," 3,500,000.00 ",502,12/31/2016,,,Complete,"3,500,000.00", -   ," 3,500,000.00 ",,original document,√  ,,
rashkim and allied,Development,Hydro-geological study for new borehole,icg/039/2013/2014/001,,0464,27/2/2014,13/2/2014,30/6/2014,Complete,"6,972,000.00"," 5,577,600.00 "," 1,394,400.00 ",ORIGINAL,,√  ,,
Rayan Provision Stores,Development,supply of Relief food- Chari Ward,2635511," 8,806,400.00 ",                178/333,2/16/2016,,,Complete,"8,806,400.00", -   ," 8,806,400.00 ",,court case,√  ,,
Rayan Provision Stores,Development,supply of Relief food -Oldonyiro,2273368," 8,615,000.00 ",181/334,1/9/2017,,,Complete,"8,615,000.00", -   ," 8,615,000.00 ",,court case,√  ,,
Rayan Provision Stores,Recurrent,Transport services,1201125," 2,245,000.00 ",202,02/06/2015,,,Complete,"2,745,000.00", -   ," 2,745,000.00 ",,court case,√  ,,
Rayan provision stores ,Development,Relief food,2635820," 7,224,000.00 ",722,1/20/2016,,,Complete,"7,224,000.00",," 7,224,000.00 ",,court case,√  ,,
Razia Investment Co.,Recurrent,Car hire,1128275," 775,000.00 ",107,4/6/2015,,,Complete,"775,000.00"," 775,000.00 ", -   ,,original document,√  ,,
Razia Investment Co.,Recurrent,Transport services,1128287," 775,000.00 ",109,5/4/2015,,,Complete,"750,000.00", -   ," 750,000.00 ",,original document,√  ,,
Razia Investment Co.,Recurrent,Transport services,1027148," 1,525,000.00 ",354,6/30/2015,,,Complete,"1,525,000.00"," 1,525,000.00 ", -   ,,original document,√  ,,
Razia Investment Co.,Recurrent,car hire,975533," 430,000.00 ",043,17/3/2014,,,Complete,"430,000.00"," 430,000.00 ", -   ,,original document,√  ,,
Reuphan Pharmacy ltd,,supply of tomato and onion seeds,2159105," 1,315,900.00 ",643,5/8/2014,,,Complete,"1,315,900.00",," 1,315,900.00 ",,,√  ,,
Ruephan Pharmacy,Development,supply of certified assorted seeds,2158115," 3,500,000.00 ",813,12/19/2016,,,Complete,"3,500,000.00",," 3,500,000.00 ",,budgetted for in the current year,√  ,,
Ruephan Pharmacy,Development,Supply of Nelica Rice seeds ,2158139," 472,500.00 ",816,12/20/2016,,,Complete,"472,500.00",," 472,500.00 ",,budgetted for in the current year,√  ,,
Sadorb Enterprises ,Development,Construction of fresh produce market in Wabera,ICG/246/2016/2017," 4,585,596.00 ",1,n/a,,,Complete,"4,585,596.00"," 2,915,892.00 "," 1,669,704.00 ",,,√  ,,
Safa General Transporters,,Hire of Transport,None, None ,None,None,,,Complete,"4,350,000.00",," 4,350,000.00 ",,,√  ,,
Sagos General Contractors And Supplies,Recurrent,"Supply of Rice Thresher, Rice Hauler",2196626," 1,500,000.00 ",9,4/26/2017,,,Complete,"1,500,000.00",," 1,500,000.00 ",,,√  ,,
Samaha Holding,Recurrent,Care hire,," 425,000.00 ",,,,,,,," 425,000.00 ",,Photo copy,√  ,,
Samburu Service Station,Recurrent,Fuel supply,2477058,,763/3666,,,,Complete,, -   ," 138,000.00 ",,,X,,
Samburu service station,Recurrent,Fuelsupply,2273182,,,,,,Complete,, -   ," 498,475.00 ",,,X,,
Samburu Service Station,Recurrent,Fuel supply,782377,,743,,,,Complete,, -   ," 96,800.00 ",,,X,,
Samburu service station,Recurrent,Fuel supply,975579,,,,,,Complete,, -   ," 559,020.00 ",,,X,,
Samburu Service Station,Recurrent,Fuel Supply ,975582,,,,,,Complete,, -   ," 559,020.00 ",,,X,,
Samburu Service Station,Recurrent,Fuel supply,975981,,,,,,Complete,, -   ," 14,040.00 ",,,X,,
Samburu Service Station ,Recurrent,Fuel Supply,2635769,,5901/17343,,,,Complete,, -   ," 288,000.00 ",,,X,,
Samburu Service Station ,Recurrent,Fuel supply ,2196708,,1354,,,,Complete,, -   ," 588,000.00 ",,,X,,
Samburu service station ,Recurrent,Fuel supply ,2477440,,18,,,,Complete,, -   ," 218,040.00 ",,,X,,
Samburu Service Station ,Recurrent,FuelSupply,975584,,,,,,Complete,, -   ," 376,700.00 ",,,X,,
Samburu Service Station ,Recurrent,Fuel supply ,975980,,,,,,Complete,, -   ," 49,863.00 ",,,X,,
Samburu Service Station ,Recurrent,Fuel supply,,,6194,,,,Complete,, -   ," 220,000.00 ",,,X,,
Samburu Service Station ,Recurrent,Fuel diesel,3011778,,17171,31/8/2017,,,Complete,,," 490,000.00 ",,,X,,
Samburu Service Station Limited,Recurrent,supply of fuel,3011820,,9580,5/5/2017,,,Complete,,," 1,000,032.00 ",Complete,,X,,
Samburu Service Station Ltd,Recurrent,Supply of fuel,3011847," 80,997.00 ",9596,5/26/2017,,,Complete,,," 80,997.00 ",,,√  ,,
Samburu Service Station Ltd,Recurrent,Supply of fuel,,,,,,,Complete,,," 23,000.00 ",,,X,,
Samburu Service Station Ltd,Recurrent,Supply of cleaning materials,,,,,,,Complete,,," 423,000.00 ",,,X,,
Samburu Service Station Ltd,Recurrent,Supply of fuel,2273182," 498,975.00 ",9571,4/20/2017,42845,42845,Complete,"498,975.00", -   ," 498,975.00 ",Complete,Original,√  ,,
Samburu Simba Limited,Recurrent,conference facilities and accommodation during preparation of supplementary budget FY 2016/17,1198236," 1,230,500.00 ",103/2016,11/4/2016,,,Complete,"1,230,500.00", -   ," 1,230,500.00 ",,original,√  ,,
Samburu Simba Limited,Recurrent,conference facilities and accommodation during preparation of  county budget fy 2016/17,1201196/1335608," 1,962,500.00 ",298/1,4/23/2016,,,Complete,"1,962,500.00", -   ," 1,962,500.00 ",,original,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1198034," 584,500.00 ",280,7/8/2016,,,Complete,"584,500.00", -   ," 584,500.00 ",,original document,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1198035," 192,000.00 ",290,7/21/2016,,,Complete,"192,000.00", -   ," 192,000.00 ",,original document,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1198033," 515,000.00 ",302,8/4/2016,,,Complete,"515,000.00", -   ," 515,000.00 ",,original document,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1335749," 1,000,000.00 ",1,7/15/2016,,,Complete,"1,000,000.00", -   ," 1,000,000.00 ",,original document,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1198036," 310,020.00 ",,8/20/2016,,,Complete,"310,020.00", -   ," 310,020.00 ",,original document,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1335613," 1,150,000.00 ",402/2016,10/16/2016,,,Complete,"1,150,000.00", -   ," 1,150,000.00 ",,original document,√  ,,
Samburu Simba Lodge,Recurrent,Accomodation,1198037," 283,120.00 ",345,9/5/2016,,,Complete,"283,120.00", -   ," 283,120.00 ",,original document,√  ,,
Samson Ragira,Recurrent,Car hire,1335734," 140,000.00 ",01,5/30/2016,not dated,22/06/2016,Complete,"140,000.00",," 140,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Sappans Property Management Agency,Development,Consultancy services for development of Isiolo county livestock strategy and action plan,Icg/rfq/2016/2017," 1,542,800.00 ",44,10/5/2017,,,Complete,"1,542,800.00", -   ," 1,542,800.00 ",,budgettted for in the curreny year ,√  ,,
Sappans Property Management Agency,Development,Consultancy services - prefeasibility study Moodogashe water pipeline survey,Consultancy agreement,,18,1/11/2017,19/12/2016,30/6/2017,Complete,"2,673,800.00", N/A ," 2,673,800.00 ",,ORIGINAL,√  ,,
Shaadia Holdings Ltd,Recurrent,Balane on supply of Surveyor and planning equipment ,ICG/049/2015/2016/219," 4,978,572.00 ",0054,27/06/2017,26/05/2016,18/08/2016,Complete,"1,228,572.00", -   ," 1,228,572.00 ",,"Contracts sum is 4,978,572 of which 3,750,000 was pend and 1,228,572 is still pending",√  ,,
Shake Enterprises Limited,Recurrent,supply of office Stationeries,206390/1/2," 523,620.00 ",003/5/6,2/7/2017,42773,42773,Complete,"523,620.00", -   ," 523,620.00 ",Complete,Original,√  ,,
Shamim Enterprises,Recurrent,Car hire,1198227,,55,8/15/2015,,,Complete,"1,450,000.00", -   ," 1,450,000.00 ",,photocopy document,√  ,,
Shamim Enterprises,Recurrent,Car hire ,1198228,,54,07/09/2015,,,Complete,"1,550,000.00", -   ," 1,550,000.00 ",,photocopy document,√  ,,
Shamim Enterprises,Recurrent,Car hire ,1198483,,079,10/15/2015,,,Complete,"1,450,000.00", -   ," 1,450,000.00 ",,photocopy document,√  ,,
Shamim Enterprises,Recurrent,Car hire ,1198484,,0784,10/20/2015,,,Complete,"1,550,000.00", -   ," 1,550,000.00 ",,photocopy document,√  ,,
Shamsalab,Recurrent,Construction of Baraza park,ICG/038/2013/14/10," 31,513,861.52 ",,7/20/2017,,,Complete,"31,513,861.52"," 23,742,504.62 "," 7,771,356.90 ",,court case,√  ,,
Shamz Enterprises ,Development,Relief food,2477071," 26,662,000.00 ",2000/19,,,,Complete,"26,662,000.00"," 26,662,000.00 ", -   ,,court case,√  ,,
Shamz Hotel Limited,Recurrent,Catering Service,1201027," 270,000.00 ",456,8/29/2015,,,Complete,"270,000.00", -   ," 270,000.00 ",,original support documents attached,√  ,,
Shamz Hotel Ltd,Recurrent,Accomodation,1201033," 1,414,500.00 ",462,09/11/2015,,,Complete,"1,414,500.00", -   ," 1,414,500.00 ",,Court case,√  ,,
Shamz Hotel Ltd,Recurrent,Accomodation,1201032," 1,220,000.00 ",463,16/10/2015,,,Complete,"1,220,000.00", -   ," 1,220,000.00 ",,Court case,√  ,,
Shamz Hotel Ltd,Recurrent,Accomodation,1027495," 467,500.00 ",521,17/10/2015,,,Complete,"467,500.00", -   ," 467,500.00 ",,Court case,√  ,,
Shamz Hotel Ltd,Recurrent,Accomodation,992090," 403,750.00 ",,20/02/2015,,,Complete,"403,750.00", -   ," 403,750.00 ",,Court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027479," 907,500.00 ",516,8/25/2015,,,Complete,"907,500.00", -   ," 907,500.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering,1027489," 2,860,000.00 ",501,4/21/2015,,,Complete,"2,860,000.00", -   ," 2,860,000.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027484," 630,000.00 ",514,8/15/2015,,,Complete,"630,000.00", -   ," 630,000.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027487," 615,000.00 ",506,6/20/2015,,,Complete,"615,000.00", -   ," 615,000.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027500," 1,145,000.00 ",523,10/21/2015,,,Complete,"1,145,000.00", -   ," 1,145,000.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering  ,1027481," 391,500.00 ",515,8/18/2015,,,Complete,"391,500.00", -   ," 391,500.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027486," 185,000.00 ",510,6/21/2015,,,Complete,"185,000.00", -   ," 185,000.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027490," 633,000.00 ",508,6/27/2015,,,Complete,"633,000.00", -   ," 633,000.00 ",,court case,√  ,,
Shamz Hotel Ltd,Recurrent,Catering ,1027483," 594,000.00 ",513,8/16/2015,,,Complete,"594,000.00", -   ," 594,000.00 ",,court case,√  ,,
Shamz Hotel Ltd ,Recurrent,Catering,1027492," 1,377,000.00 ",511,7/25/2015,,,Complete,"1,377,000.00", -   ," 1,377,000.00 ",,court case,√  ,,
Shamz Hotel Ltd ,Recurrent,Catering ,1027499," 374,000.00 ",517,9/24/2015,,,Complete,"374,000.00", -   ," 374,000.00 ",,court case,√  ,,
Shamz Hotel Ltd ,Recurrent,Catering  ,1027497," 310,000.00 ",504,5/27/2015,,,Complete,"310,000.00", -   ," 310,000.00 ",,court case,√  ,,
Shasaac Contractors Ltd,Development,Relief food,2273091," 23,100,000.00 ",1,9/20/2015,,,Complete,"23,100,000.00"," 18,000,000.00 "," 5,100,000.00 ",,court case,√  ,,
Shasac Contractor Ltd,Development,Relief food,2273092," 12,300,000.00 ",05,6/2/2015,,,Complete,"12,300,000.00", -   ," 12,300,000.00 ",,court case,√  ,,
Shewe Enterprises ,Recurrent,supply office stationeries,2159230," 118,500.00 ",047,2/19/2016,,,Complete,"118,500.00", -   ," 118,500.00 ",,original,√  ,,
Skaks Technology,Recurrent,supply of stationeries,1927851," 122,900.00 ",05,4/20/2013,,,Complete,"122,900.00",," 122,900.00 ",,,√  ,,
Skaks Technology,,supply of stationeries,1927852," 478,110.00 ",06,20/04/2013,,,Complete,"478,110.00",," 478,110.00 ",,,√  ,,
Solosysis Technology,Recurrent,Supply of Office Stationeries,2159246," 375,230.00 ",000020,Not Dated,,,Complete,"375,230.00", -   ," 375,230.00 ",Complete,Original,√  ,,
Somal Group Ltd,Development,Renovating Isiolo Market Bus Park,1198122," 4,386,000.00 ",0107,not dated,,,Complete,"4,386,000.00", -   ," 4,386,000.00 ",,Additions from Original List,√  ,,
Soomal Group,Recurrent,"supply of office chairs,tables and cabinets",3011758," 1,035,000.00 ",120,3/28/2017,,,Complete,"1,035,000.00", -   ," 1,035,000.00 ",,,√  ,,
Soomal Group Limited,Development,Construction of fresh produce market in Bulesa,ICG/228/2016/2017," 2,634,551.40 ",275,02/04/2017,,,Complete,"2,634,551.40", -   ," 2,634,551.00 ",,original,√  ,,
Soomal Group Limited,Recurrent,Hire of Transport Services Revenue monitoring in Merti and Garbatulla,1198118," 540,000.00 ",274,1/15/2017,,,Complete,"540,000.00", -   ," 540,000.00 ",,original,√  ,,
Soomal Group Limited,Recurrent,Supply of promotional materials ,2273156," 682,000.00 ",119,2/10/2017,,,Complete,"682,000.00",," 682,000.00 ",,Original,√  ,,
Soomal Group Ltd,Recurrent,Construction of dispensary at Gotha,1198258," 4,098,245.20 ",277,,,,,"4,098,245.00", -   ," 4,098,245.00 ",,original,√  ,,
Sparkling images,Recurrent,Printing T shirt and banners,1027233," 2,527,000.00 ",127,5/17/2016,,,Complete,"2,527,000.00",," 2,527,000.00 ",,Original copy,√  ,,
Sparkling Images,Recurrent,Hire of road show Track-Isiolo to Garbatulla,1201109," 2,001,000.00 ",280,5/25/2016,,,Complete,"2,001,000.00", -   ," 2,001,000.00 ",,original document,√  ,,
Sparkling Images,Recurrent,Branding of T-shirts,1027399," 1,140,000.00 ",0210,7/3/2015,,,Complete,"1,140,000.00", -   ," 1,140,000.00 ",,original document,√  ,,
Sparkling Images ,Recurrent,setting up of Conference venue for presidential function,1198452," 2,308,400.00 ",,5/25/2016,,,Complete,"2,308,400.00", -   ," 2,308,400.00 ",,original document,√  ,,
Spawn Logistics Ltd,Recurrent,Renovation of liaison office Nairobi,ICG/REN/2016/17/03," 2,900,000.00 ",207,8/14/2017,,,Complete,"2,900,000.00", -   ," 2,900,000.00 ",,original document,√  ,,
Sports Arms Hotel,Recurrent,Conference facilities Budget retreat,1335655," 48,500.00 ",4785,12/16/2015,,,Complete,"48,500.00", -   ," 48,500.00 ",,original,√  ,,
Standard Media Group,Recurrent,Tender Advertisement,1201171," 62,640.00 ",80000357,6/9/2015,,,Complete,"62,640.00", -   ," 62,640.00 ",,original,√  ,,
Standard Media Group,Recurrent,Advertisement public participation MTEF 2016/17 - 2018/19,1198459," 122,148.00 ",80009421,10/26/2015,,,Complete,"122,148.00", -   ," 122,148.00 ",,original,√  ,,
Standard Media Group,Recurrent,Tender Advertisement Modogashe Market Stalls,1201132," 122,148.00 ",80017959,4/20/2016,,,Complete,"122,148.00", -   ," 122,148.00 ",,original,√  ,,
Standard Media Group,Recurrent,Tender Advertisement Construction of modern market and parking ,1335729," 122,148.00 ",800198553,5/23/2016,,,Complete,"122,148.00", -   ," 122,148.00 ",,original,√  ,,
Sudah Limited,Recurrent,"supply of power banks, extension cable and 40 APC",2196617," 760,000.00 ",0153,not dated,,,Complete,"760,000.00", -   ," 760,000.00 ",,original,√  ,,
Sunspike Construction Co. Limited,Development,Heavy grading Erement - Amakuni Rd,ICG/052/2015/2016," 2,990,808.00 ",060,6/20/2016,,,Complete,"2,990,808.00", -   ," 2,990,808.00 ",,original,√  ,,
Sunspike Construction Co. Limited,Development,"Construction of Generator house, Borehole installation submersible pump, generator and its accessories at Burat  holding ground",ICG/ISL/062/2014/2016/029," 2,848,555.00 ",047,1/20/2017,,,Complete,"2,848,555.00", -   ," 2,848,555.00 ",,,√  ,,
Sunspike Construction Co. Ltd,Development,Rehabillitation of Iresaboru irrigation scheme at Garbatulla sub county,1335660," 3,549,154.89 ",52,4/20/2017,,,Complete,"3,459,152.89",," 3,459,152.89 ",,budgetted for in the current year,√  ,,
Sunspike Construction Co. Ltd,Development,Refurbishment of Borehole at ATC,1335651," 650,876.00 ",50,3/7/2017,42824,,Complete,"650,876.00",," 650,876.00 ",,,√  ,,
Sunspike Construction Co. Ltd,Development,Drainage System Kambi Bulla Nasei and Asharaf,ICG/EMEG/ELNINO/2016/2017/1," 4,742,000.00 ",58,4/19/2016,42467,,Complete,"4,742,000.00",," 4,742,000.00 ",,Only invoice original,√  ,,
Sunspike Construction Co. Ltd,Development,Dissilting dry river bed drainage along Olla Bulla,ICG/EMEG/ELNINO/2016/2017/2," 1,850,000.00 ",59,4/19/2016,42468,,Complete,"1,850,000.00",," 1,850,000.00 ",,Original,√  ,,
sunspike construction company,Development,fishing submiersible pimp at merti borehole,icg/062/2015/2016/312,,012,18/06/2016,42588,30/6/2016,Complete,"981,170.00", N/A ," 981,170.00 ",ORIGINAL,,√  ,,
sunspike construction company,Development,Drilling services for proposed dolowacgu borehole,1198471," 750,100.00 ",0064,4/21/2016,,,Complete,"750,100.00", -   ," 750,100.00 ",ORIGINAL,,√  ,,
Sunspike Construction Ltd,Recurrent,supply of surveing and plannning equipment,2196615," 2,000,000.00 ",060,3/31/2017,,,Complete,"2,000,000.00", -   ," 2,000,000.00 ",,Original,√  ,,
SYSNET AFRICA LTD,Recurrent,SUPPLY OF CLEANING MATERIALS,2273307," 423,000.00 ",034,8/3/2016,,42950,,"423,000.00", -   ," 423,000.00 ",,photo copy,√  ,,
SYSNET AFRICA LTD,Recurrent,Staff Hospital uniform ,2273310," 1,500,000.00 ",013,8/31/2016,,,Complete,"1,500,000.00", -   ," 1,500,000.00 ",,original,√  ,,
SYSNET AFRICA LTD,Recurrent,Food Ratio,2273309," 913,870.00 ",033,2/24/2016,,,Complete,"913,870.00", -   ," 913,870.00 ",,original,√  ,,
Talent Pharmacy ,Recurrent,Supply of pesticides,2273190," 63,675.00 ",0445,4/25/2017,,,Complete,"63,675.00",," 63,675.00 ",,,√  ,,
Tharara construction Co,Recurrent,Car hire services,ICG/011/2016/2017," 1,625,000.00 ",051,15/12/2016,,,Complete,"1,625,000.00",," 1,625,000.00 ",,Photo copy,√  ,,
Tharara construction Co,Recurrent,Car hire,," 1,500,000.00 ",08,11/25/2016,,,Complete,"1,850,000.00", -   ," 1,850,000.00 ",,photocopy document,√  ,,
The Standard Group,Recurrent,Advertisement,1197177," 81,090.00 ",No Details,No Details,,,,"81,090.00", -   ," 81,090.00 ",,Additions from Original List,√  ,,
Thomas W. Perera,Recurrent,Transportation of relief food ,," 453,881.00 ",686,12/29/2014,,,Complete,"453,881.00", -   ," 453,881.00 ",,Photo copy,√  ,,
Tra Votech Enterprises Ltd,Development,Consultancy services,2273006,,362,1/19/2016,,,Complete,,," 3,958,800.00 ",,,X,,
Travotech Enterprises Ltd,Recurrent,Supply of 2 motorcycles,2273006," 800,000.00 ",362,2/10/2016,42075,42645,Complete,"800,000.00", -   ," 800,000.00 ",,original,√  ,,
Trojan Intenational Limited,Recurrent,supply of fuel,2635883," 672,000.00 ",13388,2/6/2017,42888,42799,Complete,"672,000.00",," 672,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Trojan International,,Supply of Fuel,2635886," 192,000.00 ",13387,2/6/2017,,,Complete,"192,000.00",," 192,000.00 ",,Original,√  ,,
Trojan International Limited,Recurrent,Supply of fuel,2635861," 432,000.00 ",13398,1/26/2017,,,Complete,"432,000.00",," 432,000.00 ",,,√  ,,
Trojan International Limited,Recurrent,Supply of fuel,3011764,,16868,5/14/2017,42953,30/6/2017,Complete,"500,000.00", N/A ," 500,000.00 ",,ORIGINAL,√  ,,
Trojan International Ltd,Recurrent,Fuel Supply,2273212,,,,,,Complete,, -   ," 300,000.00 ",,,X,,
Trojan International Ltd,Recurrent,Fuel supply ,2273229,,,,,,Complete,, -   ," 720,000.00 ",,,X,,
Trojan International Ltd,Recurrent,Fuel Supply,2206101,,,,,,Complete,, -   ," 48,000.00 ",,,X,,
Trojan International Ltd,Recurrent,Fuel Supply,2635900,,,,,,Complete,, -   ," 588,000.00 ",,,X,,
Trojan International Ltd ,Recurrent,Fuel supply ,2635593,,,,,,Complete,, -   ," 493,000.00 ",,,X,,
Trojan Limited,Recurrent,Supply of fuel.,2635885," 612,288.00 ",16899,2/6/2017,,,Complete,"612,288.00", -   ," 612,288.00 ",,,√  ,,
Tullu Builders,Recurrent,Rent Ward Admin Office - Sericho,ICG/RENT/2014/2017,,not attached,,,,Complete,, -   ," 330,000.00 ",,,X,,
Tusmo travel tours and Cargo,Recurrent,Air ticket,1462002," 3,444,415.00 ",00007192/7190/7188/7187/7185/7623/7624,9/8/2015,,,Complete,"3,444,415.00", -   ," 3,444,525.00 ",,original document,√  ,,
Twin county,Recurrent,Catering services,1198105," 342,000.00 ",076,26/1/2017,,,Complete,"342,000.00",," 342,000.00 ",,original document,√  ,,
Twin County Hotel,Recurrent,Catering services,1198105,,76,11/26/2017,,,Complete,"342,000.00",," 342,000.00 ",,,X,,
Two Sistas Entereprises,Recurrent,Supply of stationeries,2273174," 210,000.00 ",0159,3/31/2017,,,Complete,"210,000.00",," 210,000.00 ",,Original,√  ,,
Two Sistas Entereprises,Recurrent,Supply of cleaning materials,2273175," 37,340.00 ",0155,3/31/2017,,,Complete,"37,340.00",," 37,340.00 ",,Original,√  ,,
Ultimate Ridge International,Recurrent,Repair of motor vehicle,1027462," 336,980.00 ",not indicated,10/21/2015,,,Complete,"336,980.00", -   ," 336,980.00 ",,original document,√  ,,
Vista Valley Limited,Recurrent,Refreshments during School Competions,1201243," 460,000.00 ",049,6/20/2016,,,Complete,"460,000.00",," 460,000.00 ",Complete,original documents  attached.,√  ,,
Wanno Construction Co. Ltd,Development,Refurbishment Referal hospital casualty area,1201291,,not attached,n/a,,,Complete,,," 905,000.00 ",,,X,,
Waso Building and Road Works Company,Recurrent,"Water Trucking services-lakole, Dogogicha,Mataarba Alango and Dadachalafe",ICG/EMERG/WATER/2015/2016,,467,5/31/2016,42071,30/6/2016,Complete,"3,735,000.00", N/A ," 3,735,000.00 ",ORIGINAL,,√  ,,
Waso Building Co. Ltd,Development,Construction of Garbatulla Maternity,ICG/CG/2014/2016/009," 9,235,374.80 ",462,10/2/2015,,,Complete,"9,235,374.80",," 2,587,624.00 ",,,X,,
Waso Building Roads Works,Development,Fencing of lagoons at isiolo abattoir  (additional work),1198106," 1,320,417.00 ",332,6/12/2017,,,Complete,"1,320,417.00", -   ," 1,320,417.00 ",,,√  ,,
Waso General Contractor Co Ltd,Development,Renovation of Bisan Biliqi Dispensary,1201417," 620,716.00 ",16,5/31/2017,27/02/217,42861,Complete,"620,716.00", -   ," 620,716.00 ",,original,√  ,,
Waso General Contractor Co. Ltd,Development,Elnino intervention along Airport -  78 Battallion junction Rd D485B,ICG/EMEG/ELNINO/2015/2016/B," 4,874,901.70 ",20,9/1/2016,42361,,Complete,"4,874,901.70"," 1,900,000.00 "," 2,974,901.70 ",,Original,√  ,,
Waso General Contractors Co. Ltd,Development,Trench Excavation flood control,ICG/QTR/ELNINO/2015/2016/ ELNINO,,not attached,n/a,,,Complete,, -   ," 3,015,907.00 ",,,X,,
Waso General Contractors Co. Ltd,Development,Construction,ICG/QTR/ELNINO/2015/2016A," 4,847,892.00 ",-,,,,Complete,"4,847,892.00", -   ," 4,842,091.95 ",,original document,√  ,,
Waso General Contractors Ltd,Development,Drainage and flood control Airport to 78 Battalion juction Road,ICG/QTR/ELNINO/2014/2016," 4,874,901.70 ",013,Not Dated,,,Complete,"4,874,901.70", -   ," 4,874,901.70 ",,original document,√  ,,
Waso security services,Recurrent,security services,," 3,000,000.00 ",714/656,3/10/2016,,,Complete,"3,000,000.00", -   ," 2,500,000.00 ",,original document,√  ,,
Wasole Brothers Co. Ltd,Development,Murruming Yattan Road to Loruko,," 4,893,000.00 ",045,Not Dated,,,Complete,"4,893,000.00", -   ," 4,893,000.00 ",,Additions from Original List,√  ,,
Wasole Brothers Co. Ltd,,Construction of JCT Northern Wells Centre Sunrise Shop and Ewaso Nyiro Fence Manyatta Sharaf Road,ICG/332/2016/2017," 4,945,057.84 ",Not numbered,note dated,42859,42892,Complete,"4,945,057.00",," 4,945,057.00 ",,the whole contract amount was not paid,√  ,,
Wasoo security services,Recurrent,security services,ICG/Sec/2017/2018," 3,670,000.00 ",523/388/447/610,20/07/17,,,Complete,"3,670,000.00", -   ," 3,670,000.00 ",,original document,√  ,,
Wasso Security Services,Recurrent,Provision of Security service Nov 2016 - June 2017,not attached,,Various ,various,,,Complete,, -   ," 2,936,000.00 ",,,X,,
Wasso Security Services,Recurrent,Provision of Security service April - October 2016 balance,not attached," 2,633,000.00 ",Various ,various,,,Complete,"2,633,000.00"," 2,500,000.00 "," 133,000.00 ",,,√  ,,
Wastruct Consultant Limited,Development,Enginnering Desing Garbatulla bridge,ICG/RFP/2014/16/017," 6,222,958.28 ",WCL/2016/01,3/5/2016,29/05/2015,not dated,unknown,"3,000,000.00",," 6,222,958.00 ",,,√  ,,
Wazu Global Supplies,Recurrent,supply of toner,2159456," 100,000.00 ",10,30/05/2016,not dated,42588,Complete,"100,000.00",," 100,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Wazu Global Supplies Enterprises Limited,Recurrent,Supply of laptop and catridges,2159452,,02,5/30/2016,42648,30/6/2016,Complete,"140,000.00", -   ," 140,000.00 ",,ORIGINAL,√  ,,
Wazu Global Supplies Enterprises Limited,Recurrent,Supply of  Borehole Maintenance tools,3011839,,46,3/27/2017,42772,30/6/2017,Complete,"958,160.00", -   ," 958,160.00 ",,ORIGINAL,√  ,,
Wazu Global Supplies Enterprises Limited,Recurrent,repair works at dogogicha borehole and pipe extensions at yaqbarsathi,2273172,,29,19/6/2017,22/06/2017,30/6/2017,Complete,"618,883.20", -   ," 618,883.20 ",,ORIGINAL,√  ,,
Wenyeji Contractors,Development,Construction of ECD classroom at Korbesa Primary school,ICG/047/2015/2016/254," 2,999,998.60 ",227,Not Dated,,,Complete,"2,999,998.60",," 2,999,998.60 ",,original,√  ,,
Zeearr Contractors Limited,Development,Construction of Dispensary at Kombola,," 4,193,365.20 ",19,,18/01/2017,20/03/2017,Complete,"4,193,365.20", -   ," 4,193,365.20 ",,original,√  ,,
